Stock,cost
Stock 1,106.39241094192738
Stock 1,105.02951889010929
Stock 1,104.98077223846249
Stock 1,104.62684317134607
Stock 1,107.36895835244579
Stock 1,107.2226723062684
Stock 1,105.42498353774072
Stock 1,106.815315758868
Stock 1,109.11421348939407
Stock 1,105.52609551840351
Stock 1,104.3398107138558
Stock 1,104.49928811737954
Stock 1,105.607717276954
Stock 1,105.0883485262759
Stock 1,104.14795925826398
Stock 1,105.73633077763718
Stock 1,103.67691492090381
Stock 1,105.68174415214744
Stock 1,107.30204298988747
Stock 1,107.77517996019185
Stock 1,105.61464807654515
Stock 1,105.92010646691573
Stock 1,106.29147261351389
Stock 1,104.49444830664264
Stock 1,105.21527181220597
Stock 1,107.63888994936804
Stock 1,108.98993814547943
Stock 1,105.67609087749918
Stock 1,106.2884117408551
Stock 1,106.88830227805812
Stock 1,106.43680967456204
Stock 1,106.08220993123743
Stock 1,107.70394670923017
Stock 1,104.86471999533386
Stock 1,105.36208198575808
Stock 1,104.82653429622445
Stock 1,104.5107067520272
Stock 1,104.56430354329352
Stock 1,105.15061519982125
Stock 1,107.88520872142739
Stock 1,106.37401003815215
Stock 1,104.69074947588504
Stock 1,104.93884490473054
Stock 1,103.58848989455308
Stock 1,105.04774577447131
Stock 1,105.29941524141354
Stock 1,106.05265603257016
Stock 1,105.570890784201
Stock 1,106.1060950265644
Stock 1,105.14565377474844
Stock 2,91.15882284431434
Stock 2,94.59294741842623
Stock 2,93.61246419868101
Stock 2,93.85311924136917
Stock 2,92.5200637775482
Stock 2,95.16335911930861
Stock 2,93.899766534648
Stock 2,94.47465633273329
Stock 2,95.4098495187524
Stock 2,92.98046138576689
Stock 2,92.44060519042303
Stock 2,93.53383580676037
Stock 2,94.93979659985703
Stock 2,91.91184582564063
Stock 2,93.19342527677199
Stock 2,92.81317570422482
Stock 2,92.27487217603044
Stock 2,92.45754703851472
Stock 2,93.22520815425494
Stock 2,93.23664535096894
Stock 2,95.30628178513885
Stock 2,92.70511162112246
Stock 2,94.98818565622804
Stock 2,92.44949101090788
Stock 2,91.81275917919439
Stock 2,93.26877291077058
Stock 2,94.9844431791754
Stock 2,93.69130664667343
Stock 2,92.68188107371029
Stock 2,92.73063081206807
Stock 2,92.43512870936111
Stock 2,93.56914093750567
Stock 2,92.63460708791828
Stock 2,91.63378808338724
Stock 2,92.04463101386467
Stock 2,91.80267069039677
Stock 2,92.55159319868967
Stock 2,93.37989063380668
Stock 2,95.19702705260592
Stock 2,93.07584931530056
Stock 2,92.22368264162412
Stock 2,91.36129609883497
Stock 2,94.79872593865477
Stock 2,92.77757152957714
Stock 2,91.38788718628402
Stock 2,95.50801209348114
Stock 2,92.95024179131492
Stock 2,92.40327466177595
Stock 2,93.58819340092776
Stock 2,93.11911822398288
Stock 3,104.45506428524659
Stock 3,104.24158756738736
Stock 3,105.99922860295005
Stock 3,104.485611162756
Stock 3,103.23776235877637
Stock 3,103.58128592734322
Stock 3,104.86241234478031
Stock 3,102.45001225646666
Stock 3,105.37193757063449
Stock 3,103.25636898024567
Stock 3,103.49116492629933
Stock 3,103.74634163955324
Stock 3,104.90257267481915
Stock 3,102.12847217973554
Stock 3,103.58723934543364
Stock 3,103.60533810217525
Stock 3,105.82144026002881
Stock 3,104.25996905759817
Stock 3,105.20342698041439
Stock 3,102.82829956489759
Stock 3,103.77345500582236
Stock 3,106.2010105309664
Stock 3,104.52639651527558
Stock 3,103.3364715703409
Stock 3,103.05523452037806
Stock 3,102.3350256808164
Stock 3,104.452282838076
Stock 3,105.45751564895168
Stock 3,103.81276301426092
Stock 3,104.47548661936773
Stock 3,105.25641053213445
Stock 3,105.4916807390149
Stock 3,105.31121979443031
Stock 3,103.54978241498318
Stock 3,107.26661528256889
Stock 3,103.9905491039136
Stock 3,102.78305616306487
Stock 3,106.2276212282603
Stock 3,104.15899773082772
Stock 3,101.48885023884776
Stock 3,104.04606709218164
Stock 3,103.33660817579268
Stock 3,106.63509217541854
Stock 3,103.13488642940113
Stock 3,104.64107252835156
Stock 3,105.26470503284229
Stock 3,102.14353735598493
Stock 3,104.21024904506265
Stock 3,104.94177373061686
Stock 3,105.10252991960061
Stock 4,98.46817291228594
Stock 4,98.71712626502246
Stock 4,97.18625331616977
Stock 4,99.13336699715438
Stock 4,98.05309998677745
Stock 4,97.19015381362846
Stock 4,98.45364242066091
Stock 4,100.98711624266261
Stock 4,99.16011523654412
Stock 4,96.72686381943892
Stock 4,98.04156114938951
Stock 4,98.20404236887754
Stock 4,98.37866112539878
Stock 4,96.90400556423141
Stock 4,98.81411969964113
Stock 4,97.657013966361
Stock 4,98.62574038214578
Stock 4,98.16138242754401
Stock 4,97.65539053840288
Stock 4,96.87437196224626
Stock 4,97.35206097638846
Stock 4,98.69844430144256
Stock 4,97.15977986934145
Stock 4,98.07387184116878
Stock 4,98.40857980860699
Stock 4,97.56932833663572
Stock 4,98.4401543062847
Stock 4,97.73544305642322
Stock 4,98.40193828687754
Stock 4,97.27863584653362
Stock 4,101.75430689604917
Stock 4,98.70069000996662
Stock 4,98.1475544246512
Stock 4,98.79587007783228
Stock 4,98.7082165309613
Stock 4,97.42348144780524
Stock 4,98.56651939231477
Stock 4,100.19147131471101
Stock 4,97.83897855733908
Stock 4,96.6607838905571
Stock 4,98.47932954275633
Stock 4,98.51680414564866
Stock 4,97.25736492035709
Stock 4,98.55713092539985
Stock 4,99.04924891885295
Stock 4,99.3927473448491
Stock 4,98.74486381006169
Stock 4,97.8497692517166
Stock 4,97.66067412366135
Stock 4,97.80764001400249
Stock 5,73.90787397183166
Stock 5,73.56856529273018
Stock 5,73.2896379972901
Stock 5,72.83174083250958
Stock 5,72.89323991067377
Stock 5,73.45805148642631
Stock 5,73.30020029630644
Stock 5,72.88697132866272
Stock 5,73.42557438611915
Stock 5,72.8694273413659
Stock 5,73.51024953585939
Stock 5,72.81604610331685
Stock 5,73.04100100541667
Stock 5,72.99880229787621
Stock 5,73.55223118796255
Stock 5,73.22866090135763
Stock 5,73.46990917707205
Stock 5,73.31621278488437
Stock 5,73.05719858086043
Stock 5,73.41311975151369
Stock 5,73.78177454702958
Stock 5,74.23376612293569
Stock 5,73.7852854279543
Stock 5,73.37858494756978
Stock 5,73.04445667471568
Stock 5,73.01986173140281
Stock 5,73.71323516159877
Stock 5,73.99820530484679
Stock 5,73.29628600014088
Stock 5,73.03370349045878
Stock 5,74.20238770870142
Stock 5,74.2276354126591
Stock 5,73.09831642587646
Stock 5,74.06553234193436
Stock 5,73.9164015477206
Stock 5,73.73567287173032
Stock 5,73.37002884619221
Stock 5,73.9306579288258
Stock 5,73.28940855030021
Stock 5,73.89966967743852
Stock 5,74.09681489973319
Stock 5,73.45931654446515
Stock 5,73.03734479254112
Stock 5,73.69045465973414
Stock 5,73.82561613402937
Stock 5,73.4601260825052
Stock 5,73.42314743912115
Stock 5,73.1492132876146
Stock 5,73.78510048819442
Stock 5,73.28468831609125
Stock 6,88.98458731100678
Stock 6,90.04824966549263
Stock 6,89.43164336529897
Stock 6,89.68390195723813
Stock 6,88.40308164136773
Stock 6,89.24870045863112
Stock 6,89.40088798705393
Stock 6,89.56889180223725
Stock 6,89.87704433884026
Stock 6,88.22800016301902
Stock 6,89.40345544452786
Stock 6,89.41592513584408
Stock 6,88.21204410162738
Stock 6,89.57605117997915
Stock 6,89.24551297931919
Stock 6,89.14106044088996
Stock 6,88.90979151522251
Stock 6,89.78440407310265
Stock 6,89.41989971205565
Stock 6,89.41196683387315
Stock 6,89.73190096931735
Stock 6,88.93841691778863
Stock 6,89.8898106149228
Stock 6,89.36095615002242
Stock 6,89.25103476541013
Stock 6,88.63453475425324
Stock 6,89.21283393193413
Stock 6,89.04013538961793
Stock 6,89.36325667248555
Stock 6,89.54482828808938
Stock 6,89.63401226119166
Stock 6,88.90584299687602
